PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2021-06-06,17:01:18.97,1,1,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.11824,0.857704,0.071309,2499.980187,84.840425,8:45,6.10647,1.49413,5.10602,-51.88113,0.83224,-10.25178,2.59122,0.707,67.75969,-8.568326,-1.744889,0.522555,,,,,,,,,,,,5.10839,0.69496,-1.49251,50,6.14697,0.2646,-107.49421,-0.11898,5.93262,19.93008,-31.36698,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,574fcca0-c70a-11eb-8b21-2587103ee89a,72.13109,,,6.35855,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:01:18.97,2021-06-06T17:01:18.9771044-04:00,2021-06-06T21:01:18.9771044Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,362c5de2-e5f4-4e57-9bb7-5694eef979bb,55.39141,-108.48921,9.96504,6.11382,1.44699,-15.68349,-1.49832,-0.03158,2.96631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2021-06-06,17:01:33.17,1,2,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.03851,-0.422808,-2.6245,2645.40357,89.378106,9:00,5.97682,1.57939,4.93732,-49.99463,1.49303,-8.70036,1.41057,-1.62786,69.32718,-9.417014,-4.158302,0.516444,,,,,,,,,,,,3.58024,1.33508,-1.31658,50,5.89428,5.32907,-108.7865,-2.52121,4.29086,19.06549,-30.57396,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,5fc5a1c0-c70a-11eb-8b21-2587103ee89a,72.9846,,,5.71133,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:01:33.17,2021-06-06T17:01:33.1758884-04:00,2021-06-06T21:01:33.1758884Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,8659bffd-a368-41f5-abd6-7d2060f082d8,55.56117,-109.7568,9.53274,5.983,-0.96521,-15.28698,-1.58224,5.11069,2.14543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2021-06-06,17:01:52.19,1,3,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,1,Top,0,0,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,86.99795,-0.744032,-3.804905,2197.519482,,,6.22277,1.93275,5.28652,,,,3.81676,1.32956,78.65135,-4.599176,2.520287,0.444774,,,,,,,,,,,,-18.8867,9.45583,-1.61245,50,6.14039,6.75341,-125.99573,-2.30137,-30.07354,27.8577,-17.1174,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,6b4bc420-c70a-11eb-8b21-2587103ee89a,84.74524,,,8.3466,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:01:52.19,2021-06-06T17:01:52.1979684-04:00,2021-06-06T21:01:52.1979684Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,0e46e630-bd48-4cb5-b33b-97ccf59719f1,55.21346,-127.14321,13.92885,6.22067,-1.59629,-8.5587,-1.91614,7.99216,-15.03677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2021-06-06,17:02:11.47,1,4,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,73.84528,0.806505,-2.283511,2632.712901,74.446453,8:30,6.04276,1.66822,5.03632,-54.62424,-1.52701,-11.48583,2.25225,-1.44434,67.97181,-9.053596,-4.31171,0.524454,42.00247,30.189599,-52.841472,4471.304894,,,,90.31438,,-50.31319,1.94657,5.0915,-0.57449,-1.44032,50,6.07574,4.70443,-107.08874,-0.31286,5.89013,19.14743,-32.83864,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,769f3dc0-c70a-11eb-8b21-2587103ee89a,71.86989,16.37998,,5.87346,,,,2.70107,2.45459,1.34805,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:02:11.47,2021-06-06T17:02:11.4789668-04:00,2021-06-06T21:02:11.4789668Z,GroundBall,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,b309e25f-9722-4bc1-a29e-0d1817bcbc81,55.46376,-108.06124,9.57371,6.04927,1.35502,-16.41932,-1.67166,4.40527,2.94507,,2.70107,32.1637,-2.42209,0.33646,-0.21499,0.25946,-0.20084,0.07635,-0.01099,2.4546,30.97707,-17.96812,0.90552,-0.02889,-0.16236,0.13033,-0.04345,0.00541,1.34805,-42.43769,4.24139,-1.00435,0.41929,-0.30341,0.215,-0.08031,0.01147,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2021-06-06,17:02:43.36,1,5,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,1,Top,0,1,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.61425,-1.938296,-2.366985,2216.340858,260.109935,2:45,5.93813,1.40625,5.58341,-32.29746,4.72331,20.09245,1.43436,0.86895,80.11023,-7.86747,1.222889,0.437919,,,,,,,,,,,,-10.85839,3.32587,-1.21617,50,5.75042,4.38504,-127.06488,-5.46683,-17.66689,27.20636,-26.76275,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,899d4d40-c70a-11eb-8b21-2587103ee89a,86.07163,,,7.50402,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:02:43.36,2021-06-06T17:02:43.3620000-04:00,2021-06-06T21:02:43.3620000Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,2fa18070-644a-4043-b5fa-ebf15d42ab48,54.91541,-128.11302,13.60318,5.94117,-4.43579,-13.38138,-1.39822,5.06566,-8.83345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.51766,3.093766,1.976627,1.117139,-0.28387,1.19618,-0.90696,0.27852,5.86293,-3.443,71.28988,8.66778,-53.48792,0.38723,68.10895,-4.11282,5.9494,17.69545,-13.62527,-3.55473,-49.11038,3.90778,High,High,High,,,High,High,High
6,2021-06-06,17:03:13.95,2,1,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.73322,-0.999472,-3.034158,2149.924895,265.696128,2:45,5.80506,2.04427,4.98691,-36.61982,2.6102,18.72627,1.80823,0.73707,78.92935,-7.625952,0.272155,0.450797,,,,,,,,,,,,-10.11827,1.90323,-1.76788,50,5.67869,5.75613,-124.32964,-3.59214,-15.90559,23.92806,-29.18221,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,9be63d90-c70a-11eb-8b21-2587103ee89a,83.61296,,,6.80387,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:03:13.95,2021-06-06T17:03:13.9521828-04:00,2021-06-06T21:03:13.9521828Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,e01403e3-ee3e-4924-b677-7286f091a412,55.51333,-125.38623,11.96403,5.80886,-2.30355,-14.5911,-2.03756,6.45847,-7.95279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2021-06-06,17:03:33.55,2,2,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.15051,-0.684086,-0.433671,1668.953953,269.37805,3:00,5.79836,2.19465,5.48188,-47.19566,1.64488,12.64261,1.2253,2.84244,70.32128,-9.27648,1.824031,0.502993,,,,,,,,,,,,-6.48225,1.50953,-2.16532,50,5.70645,0.35679,-110.6089,-2.85563,-8.03461,19.63498,-30.30302,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,a787fe40-c70a-11eb-8b21-2587103ee89a,74.93638,,,5.82923,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:03:33.55,2021-06-06T17:03:33.5543076-04:00,2021-06-06T21:03:33.5543076Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,3aa2bd0d-c257-4f3d-8fb2-e2060747be49,55.01666,-111.49589,9.81749,5.80453,-1.48673,-15.15151,-2.18964,0.71975,-4.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2021-06-06,17:03:50.08,2,3,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,1,Top,1,1,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,76.22108,1.185213,-0.624249,2669.062408,99.907936,9:15,5.87962,2.29293,4.66377,-46.46766,3.65406,-12.38005,3.13338,0.66826,70.26878,-7.186212,-2.796862,0.509547,63.5028,19.491775,-158.497422,3835.28725,-102.51058,11.60532,-39.89459,145.1707,,-158.9129,1.898547,5.90882,1.91343,-2.21735,50,5.95832,1.7148,-110.5973,0.61985,7.35419,18.82723,-29.79257,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,b16097b0-c70a-11eb-8b21-2587103ee89a,73.97242,16.13443,,5.95229,,,,1.07591,3.0762,-0.71695,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:03:50.08,2021-06-06T17:03:50.0855588-04:00,2021-06-06T21:03:50.0855588Z,LineDrive,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,65869224-5bc0-48b2-bf81-faff857c64ed,55.83515,-111.58621,9.41362,5.88467,2.18472,-14.89629,-2.29727,1.32852,3.6771,,1.07593,-81.69063,7.67132,-1.97496,0.58415,-0.27676,0.14044,-0.03827,0.00293,3.07619,31.07856,-19.7485,1.71466,-0.45692,0.35615,-0.25727,0.10626,-0.01706,-0.71695,-32.18265,4.99756,-2.01185,0.57254,-0.10642,-0.0014,0.01553,-0.00467,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2021-06-06,17:04:15.73,2,4,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,74.1524,0.263169,-1.527888,1708.013022,264.180592,2:45,5.76836,2.19299,5.43083,-48.72684,2.45606,9.85516,1.95434,1.58302,68.9047,-8.59837,0.228405,0.514913,56.42943,25.799702,-121.758304,3463.711056,,,,157.44921,,-122.880386,2.433014,-5.37882,1.58138,-2.06479,50,5.75752,2.51814,-107.77875,-1.04498,-6.38768,17.04812,-30.29608,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,c0ae2250-c70a-11eb-8b21-2587103ee89a,73.20157,19.98399,,5.24771,,,,1.34402,2.06951,-1.60571,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:04:15.73,2021-06-06T17:04:15.7349156-04:00,2021-06-06T21:04:15.7349156Z,LineDrive,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,6c040921-e5ff-4569-b697-6da869d2d2ef,55.06953,-108.57767,8.52406,5.77323,0.37478,-15.14804,-2.18981,2.81748,-3.19384,,1.34402,-39.21922,1.57213,-0.07709,0.17362,-0.34423,0.38446,-0.13036,-0.04238,2.06951,36.02062,-16.60379,0.73874,-0.04969,-0.02026,-0.01985,0.12158,-0.08845,-1.6057,-63.35702,4.60334,-0.40774,0.33437,-0.55268,0.61931,-0.23119,-0.05172,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2021-06-06,17:04:38.41,2,5,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.36914,-0.499075,-1.457112,1832.423028,253.342518,2:30,5.75844,2.44762,5.99109,-42.47097,5.25244,12.51166,1.75652,2.13962,70.23913,-8.343336,0.79619,0.497207,,,,,,,,,,,,-6.83831,3.30996,-2.33958,50,5.6958,2.37605,-110.95588,-2.22361,-8.51272,20.11682,-28.05362,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,ce3aea20-c70a-11eb-8b21-2587103ee89a,75.80835,,,6.13001,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:04:38.41,2021-06-06T17:04:38.4180000-04:00,2021-06-06T21:04:38.4180000Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,f9aa0bd3-3978-4c48-93f7-96bfa3ad5e88,54.50704,-111.77004,10.05841,5.76282,-1.08823,-14.02681,-2.44272,2.72057,-4.25636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.54418,,,1.126221,,,,0.14412,5.91112,-3.92868,70.66325,5.99146,-54.11399,0.19881,67.05961,-3.972,5.99932,16.90914,-14.9889,-3.99909,-49.1738,4.12943,High,High,High,,,High,High,High
